location,time_period,horizon_distance,sample,forecast
LA-AT,201008,0,0,15.87713245698485
LA-AT,201008,0,1,77.771196102839
LA-AT,201008,0,2,16.672022397977805
LA-AT,201008,0,3,16.180578801641865
LA-AT,201008,0,4,10.278615692989554
LA-AT,201008,0,5,7.7242078711906
LA-AT,201008,0,6,51.417683522000885
LA-AT,201008,0,7,7.034230817607762
LA-AT,201008,0,8,14.886279459037159
LA-AT,201008,0,9,5.623038989086372
LA-AT,201008,0,10,12.401004159228066
LA-AT,201008,0,11,14.74529084591186
LA-AT,201008,0,12,14.742963941636457
LA-AT,201008,0,13,16.182897628683964
LA-AT,201008,0,14,211.35967814993518
LA-AT,201008,0,15,11.680296657804423
LA-AT,201008,0,16,79.41160427070346
LA-AT,201008,0,17,10.22988100512674
LA-AT,201008,0,18,21.606762435194614
LA-AT,201008,0,19,53.74288924800246
LA-AT,201008,0,20,106.52175765012802
LA-AT,201008,0,21,6.4689185245464635
LA-AT,201008,0,22,7.555951189208405
LA-AT,201008,0,23,15.582698151264832
LA-AT,201008,0,24,15.30832860365214
LA-AT,201008,0,25,13.530233314051639
LA-AT,201008,0,26,20.774073290771998
LA-AT,201008,0,27,57.026794464970436
LA-AT,201008,0,28,10.732965484923286
LA-AT,201008,0,29,222.24795618728533
LA-AT,201008,0,30,12.573695749278162
LA-AT,201008,0,31,7.966404139412579
LA-AT,201008,0,32,15.962482226601564
LA-AT,201008,0,33,11.983844833013578
LA-AT,201008,0,34,21.261587437313803
LA-AT,201008,0,35,106.38500734677453
LA-AT,201008,0,36,9.78002642723477
LA-AT,201008,0,37,13.906899697625569
LA-AT,201008,0,38,10.220091474995218
LA-AT,201008,0,39,31.016854349683673
LA-AT,201008,0,40,80.74930008840488
LA-AT,201008,0,41,140.6133166726144
LA-AT,201008,0,42,28.831666562472186
LA-AT,201008,0,43,49.094605050281615
LA-AT,201008,0,44,78.18864215767027
LA-AT,201008,0,45,38.92132670181159
LA-AT,201008,0,46,54.72348094912413
LA-AT,201008,0,47,30.88304912642854
LA-AT,201008,0,48,13.693211097758335
LA-AT,201008,0,49,16.546409236838674
LA-AT,201008,0,50,37.33322333128816
LA-AT,201008,0,51,20.684978986866987
LA-AT,201008,0,52,54.72861487225253
LA-AT,201008,0,53,6.455769456171543
LA-AT,201008,0,54,14.858803737906594
LA-AT,201008,0,55,22.074164115972142
LA-AT,201008,0,56,18.020377515123418
LA-AT,201008,0,57,17.402621151016046
LA-AT,201008,0,58,18.894923701558263
LA-AT,201008,0,59,44.527549085467086
LA-AT,201008,0,60,38.10169078828287
LA-AT,201008,0,61,280.3811955468249
LA-AT,201008,0,62,64.30938258556792
LA-AT,201008,0,63,46.29107646750588
LA-AT,201008,0,64,13.982145029145293
LA-AT,201008,0,65,16.183634685753823
LA-AT,201008,0,66,19.630699954805557
LA-AT,201008,0,67,37.29549447986081
LA-AT,201008,0,68,93.22595238587634
LA-AT,201008,0,69,22.486194287195367
LA-AT,201008,0,70,233.40236973974334
LA-AT,201008,0,71,26.840722088904787
LA-AT,201008,0,72,235.40449321753366
LA-AT,201008,0,73,67.9928831113721
LA-AT,201008,0,74,13.83353125080859
LA-AT,201008,0,75,21.202570958993558
LA-AT,201008,0,76,40.65791586297993
LA-AT,201008,0,77,17.04479401555825
LA-AT,201008,0,78,7.78171855392117
LA-AT,201008,0,79,3.59507296220633
LA-AT,201008,0,80,11.264986899581809
LA-AT,201008,0,81,8.87613074108932
LA-AT,201008,0,82,1.4638120470512497
LA-AT,201008,0,83,0.5056346374247729
LA-AT,201008,0,84,360.688001409377
LA-AT,201008,0,85,18.888345318962394
LA-AT,201008,0,86,43.97653519294445
LA-AT,201008,0,87,35.608708950456645
LA-AT,201008,0,88,8.452107603546606
LA-AT,201008,0,89,52.91869429035999
LA-AT,201008,0,90,10.369278487095281
LA-AT,201008,0,91,97.71452571279951
LA-AT,201008,0,92,148.14309896475643
LA-AT,201008,0,93,184.32051674171328
LA-AT,201008,0,94,32.10985941140726
LA-AT,201008,0,95,6.3228183098876105
LA-AT,201008,0,96,28.43269585979067
LA-AT,201008,0,97,24.78711369989049
LA-AT,201008,0,98,274.90089266927066
LA-AT,201008,0,99,73.9133563220009
LA-AT,201009,1,0,1.9362137182550407
LA-AT,201009,1,1,10.05884926811925
LA-AT,201009,1,2,10.829643333796081
LA-AT,201009,1,3,33.7433366335555
LA-AT,201009,1,4,17.455036252322312
LA-AT,201009,1,5,13.670842306610375
LA-AT,201009,1,6,208.01630816985084
LA-AT,201009,1,7,11.151691418543832
LA-AT,201009,1,8,12.850137763535706
LA-AT,201009,1,9,9.862961511334078
LA-AT,201009,1,10,1.9196206591396063
LA-AT,201009,1,11,18.70044119103477
LA-AT,201009,1,12,22.51958547078543
LA-AT,201009,1,13,1.4322177309351862
LA-AT,201009,1,14,40.982044304078315
LA-AT,201009,1,15,63.43458464161079
LA-AT,201009,1,16,10.668358702809867
LA-AT,201009,1,17,58.688454912422365
LA-AT,201009,1,18,9.198009352038149
LA-AT,201009,1,19,12.63706433278037
LA-AT,201009,1,20,0.0
LA-AT,201009,1,21,11.657462895023773
LA-AT,201009,1,22,202.63060403313318
LA-AT,201009,1,23,4.464645918744579
LA-AT,201009,1,24,9.615866768053667
LA-AT,201009,1,25,15.653229397590792
LA-AT,201009,1,26,55.18818615713564
LA-AT,201009,1,27,6.509618332680645
LA-AT,201009,1,28,10.691796395807838
LA-AT,201009,1,29,117.7359820809489
LA-AT,201009,1,30,24.57030715925107
LA-AT,201009,1,31,19.52441019243181
LA-AT,201009,1,32,17.422374452792226
LA-AT,201009,1,33,87.76416278511675
LA-AT,201009,1,34,5.025987825401116
LA-AT,201009,1,35,22.657041331152502
LA-AT,201009,1,36,7.240545418120108
LA-AT,201009,1,37,11.44183467141161
LA-AT,201009,1,38,29.62749998859004
LA-AT,201009,1,39,6.551242956352669
LA-AT,201009,1,40,14.13570626997636
LA-AT,201009,1,41,10.219627112556807
LA-AT,201009,1,42,16.420038560125416
LA-AT,201009,1,43,20.292129206930685
LA-AT,201009,1,44,8.750211124015348
LA-AT,201009,1,45,11.65564947036578
LA-AT,201009,1,46,10.470815619884581
LA-AT,201009,1,47,9.820736009895441
LA-AT,201009,1,48,14.123930463241129
LA-AT,201009,1,49,5.208384517798595
LA-AT,201009,1,50,223.67891368123418
LA-AT,201009,1,51,5.354752384801922
LA-AT,201009,1,52,141.03091722554908
LA-AT,201009,1,53,8.196988180884722
LA-AT,201009,1,54,18.56728631777946
LA-AT,201009,1,55,18.09789888901479
LA-AT,201009,1,56,30.58232493977757
LA-AT,201009,1,57,349.01931554997924
LA-AT,201009,1,58,42.131046395521636
LA-AT,201009,1,59,21.109244130506323
LA-AT,201009,1,60,64.38638854467968
LA-AT,201009,1,61,26.77234473391911
LA-AT,201009,1,62,9.908601272434
LA-AT,201009,1,63,136.0162371305566
LA-AT,201009,1,64,35.509066347084634
LA-AT,201009,1,65,4.387106571840034
LA-AT,201009,1,66,5.064768640417229
LA-AT,201009,1,67,32.854445370098006
LA-AT,201009,1,68,6.143861671992084
LA-AT,201009,1,69,25.128980883816986
LA-AT,201009,1,70,14.755225753510855
LA-AT,201009,1,71,41.06024360237949
LA-AT,201009,1,72,33.19425470384124
LA-AT,201009,1,73,32.56363797028295
LA-AT,201009,1,74,27.025061996825386
LA-AT,201009,1,75,10.316934553784659
LA-AT,201009,1,76,6.905277101378247
LA-AT,201009,1,77,14.498434515918255
LA-AT,201009,1,78,11.533924599696203
LA-AT,201009,1,79,83.19987691764312
LA-AT,201009,1,80,1.2626656020148945
LA-AT,201009,1,81,6.2230756342172295
LA-AT,201009,1,82,6.453261862878474
