filename,model_name,model_version,ratio_above_truth,crps,crps_log1p,crps_norm,example_metric,mae,sensitivity,specificity,outbreak_accuracy,coverage_10_90,coverage_25_75,rmse,sample_count,winkler_score_10_90,winkler_score_25_75,winkler_score_10_90_log1p,winkler_score_25_75_log1p
rwanda_sarimax_eval.nc,https://github.com/chap-models/rwanda_sarimax,unknown,0.5833333333333334,196.59187216525928,1.1695230594660868,0.10117955335319573,28309.229591797335,196.59187216525928,0.8125,0.515625,0.6805555555555556,0.0,0.0,324.2674764238657,144.0,1965.918721652593,786.3674886610371,11.69523059466087,4.678092237864347
chap_ewars_eval.nc,https://github.com/chap-models/chap_auto_ewars,unknown,0.2750694444444444,92.68565694444445,0.8331247934334662,0.047702345313661576,19463.5,135.16319444444446,0.4125,1.0,0.6736111111111112,0.7361111111111112,0.4861111111111111,296.2581427619801,14400.0,570.0729166666667,408.12152777777777,5.163085969342747,3.7667102350754544
INLA_baseline_model_eval.nc,https://github.com/chap-models/INLA_baseline_model,unknown,0.2880208333333333,118.31738313888887,1.153456378704307,0.060894175573283,21533.0,149.53472222222223,0.425,0.921875,0.6458333333333334,0.7222222222222222,0.4652777777777778,329.48769155901545,144000.0,962.9756944444445,516.4236111111111,6.168681189349755,5.068222712288468
ensemble_report_old.nc,,,0.5694444444444444,120.52508955897707,1.025614767504039,0.06203041150745089,17355.612896492697,120.52508955897707,0.9,0.53125,0.7361111111111112,0.0,0.0,192.23810094003161,144.0,1205.2508955897708,482.1003582359083,10.25614767504039,4.102459070016156
ensemble_report_det.nc,,,0.6319444444444444,150.10287238704743,1.0583134808792047,0.0772531509969364,21614.81362373483,150.10287238704743,0.8875,0.4375,0.6875,0.0,0.0,239.48923211182347,144.0,1501.0287238704746,600.4114895481897,10.583134808792048,4.233253923516819
ensemble_report_pob.nc,,,0.3760416666666666,84.43691177550062,0.7544548984783902,0.04345697981240382,17126.527972839343,118.93422203360655,0.65,0.703125,0.6736111111111112,0.6180555555555556,0.4236111111111111,255.6224097004171,14400.0,530.8573222181611,371.46825393835803,5.059229810627465,3.355333162907572
ensemble_report_ny_det.nc,,,0.5415972222222222,95.20067778238479,0.7895883176341498,0.048996746156657126,15527.519980369085,107.8299998636742,0.85,0.453125,0.6736111111111112,0.4930555555555556,0.2916666666666667,226.21167307627528,14400.0,857.4421240441565,411.47757833563344,5.8845922562469,3.4728685162370057
ensemble_report_test_new.nc,,,0.41083333333333333,76.45345611969282,0.7079457034496175,0.03934815034466949,15457.821472406613,107.34598244726814,0.75,0.65625,0.7083333333333334,0.6527777777777778,0.4305555555555556,228.67850684343708,14400.0,490.1857407839444,333.13393546258874,4.845969434156152,3.1371508474691736
