location,time_period,horizon_distance,sample,forecast
LA-VT,201007,0,0,459.4533472433653
LA-VT,201008,1,0,281.23628581704634
LA-VT,201009,2,0,258.86892857739605
LA-XA,201007,0,0,167.19153478489287
LA-XA,201008,1,0,74.40573439816717
LA-XA,201009,2,0,56.856162858549425
LA-XE,201007,0,0,43.56654754066808
LA-XE,201008,1,0,32.9154614467131
LA-XE,201009,2,0,28.999456961286317
LA-XI,201007,0,0,24.856701274301045
LA-XI,201008,1,0,22.97934531953703
LA-XI,201009,2,0,24.825599752688284
LA-XN,201007,0,0,23.238856206284247
LA-XN,201008,1,0,21.66431371001745
LA-XN,201009,2,0,20.210368102627207
LA-AT,201008,0,0,32.30541964516988
LA-AT,201009,1,0,24.246693273645853
LA-AT,201010,2,0,21.708884852183928
LA-BK,201008,0,0,45.3245292068337
LA-BK,201009,1,0,39.72247397974427
LA-BK,201010,2,0,23.129910456736624
LA-BL,201008,0,0,236.7871545165474
LA-BL,201009,1,0,146.20135068945427
LA-BL,201010,2,0,122.83650273530874
LA-CH,201008,0,0,377.47871729256076
LA-CH,201009,1,0,183.04034026673042
LA-CH,201010,2,0,147.03797089745643
LA-HO,201008,0,0,17.414339285613774
LA-HO,201009,1,0,17.29795262636324
LA-HO,201010,2,0,16.84227563645012
LA-KH,201008,0,0,261.22872624537086
LA-KH,201009,1,0,129.37710013192103
LA-KH,201010,2,0,88.14605004250578
LA-LM,201008,0,0,22.69125829562237
LA-LM,201009,1,0,20.916835998376687
LA-LM,201010,2,0,20.033441570738567
LA-LP,201008,0,0,79.46782295281794
LA-LP,201009,1,0,44.615802909509455
LA-LP,201010,2,0,32.50442065680223
LA-OU,201008,0,0,56.650206810017806
LA-OU,201009,1,0,34.80441317455039
LA-OU,201010,2,0,27.76434724469176
LA-PH,201008,0,0,16.528838229626185
LA-PH,201009,1,0,16.467532444948066
LA-PH,201010,2,0,16.469848915891347
LA-SL,201008,0,0,242.61778793583267
LA-SL,201009,1,0,125.66367642855928
LA-SL,201010,2,0,106.89868704109949
LA-SV,201008,0,0,351.2622630128591
LA-SV,201009,1,0,163.44191710293856
LA-SV,201010,2,0,103.42688842489595
LA-VI,201008,0,0,47.10592511879385
LA-VI,201009,1,0,50.435173561529155
LA-VI,201010,2,0,39.10979090765208
LA-VT,201008,0,0,688.1386654657189
LA-VT,201009,1,0,383.27485697104487
LA-VT,201010,2,0,292.58073137214205
LA-XA,201008,0,0,46.02577708307075
LA-XA,201009,1,0,28.994739771190634
LA-XA,201010,2,0,22.89574283139262
LA-XE,201008,0,0,39.5059699297307
LA-XE,201009,1,0,29.494379775654707
LA-XE,201010,2,0,26.646495298554225
LA-XI,201008,0,0,19.721279757551514
LA-XI,201009,1,0,18.68767645867641
LA-XI,201010,2,0,17.3763961553638
LA-XN,201008,0,0,27.046358015794077
LA-XN,201009,1,0,23.001604470219604
LA-XN,201010,2,0,22.23813823060802
LA-AT,201009,0,0,37.54296340373726
LA-AT,201010,1,0,24.270493395547053
LA-AT,201011,2,0,18.497010492835308
LA-BK,201009,0,0,41.269048683678946
LA-BK,201010,1,0,37.76970529650569
LA-BK,201011,2,0,21.815599465181748
LA-BL,201009,0,0,191.19143751739858
LA-BL,201010,1,0,131.8335883214509
LA-BL,201011,2,0,91.28997166796115
LA-CH,201009,0,0,324.58175712685625
LA-CH,201010,1,0,146.82528980322834
LA-CH,201011,2,0,90.97467646181934
LA-HO,201009,0,0,18.016959279035074
LA-HO,201010,1,0,17.4560724841692
LA-HO,201011,2,0,16.758163329820192
LA-KH,201009,0,0,175.77443862040508
LA-KH,201010,1,0,91.79928657444816
LA-KH,201011,2,0,16.292142030113826
LA-LM,201009,0,0,27.89754072984755
LA-LM,201010,1,0,21.960867067341887
LA-LM,201011,2,0,19.816680559114268
LA-LP,201009,0,0,80.37877061792051
LA-LP,201010,1,0,42.303124352308956
LA-LP,201011,2,0,26.028291953585548
LA-OU,201009,0,0,42.460208700960266
LA-OU,201010,1,0,27.66171967380791
LA-OU,201011,2,0,20.58355043642594
LA-PH,201009,0,0,16.65773937313428
LA-PH,201010,1,0,16.519870459192642
LA-PH,201011,2,0,16.341748486848964
LA-SL,201009,0,0,236.30673201541836
LA-SL,201010,1,0,108.87187076851102
LA-SL,201011,2,0,74.15084549776495
LA-SV,201009,0,0,267.02070267314633
LA-SV,201010,1,0,106.69324526981646
LA-SV,201011,2,0,69.25844758049881
LA-VI,201009,0,0,40.140166216902315
LA-VI,201010,1,0,56.37647041962414
LA-VI,201011,2,0,26.058421993482806
LA-VT,201009,0,0,703.3481848114156
LA-VT,201010,1,0,353.9575424323029
LA-VT,201011,2,0,211.66397815687864
LA-XA,201009,0,0,41.5439701468522
LA-XA,201010,1,0,23.912718527406224
LA-XA,201011,2,0,19.352042032892502
LA-XE,201009,0,0,35.08559689059413
LA-XE,201010,1,0,26.034849615212522
LA-XE,201011,2,0,21.821520267149403
LA-XI,201009,0,0,25.884190234049747
LA-XI,201010,1,0,19.39460713578165
LA-XI,201011,2,0,17.182454265279112
LA-XN,201009,0,0,21.897582250466733
LA-XN,201010,1,0,20.643713606070005
LA-XN,201011,2,0,18.290912916350482
LA-AT,201010,0,0,27.019326376448028
LA-AT,201011,1,0,18.868199598369234
LA-AT,201012,2,0,16.031524235850508
LA-BK,201010,0,0,42.8298642123393
LA-BK,201011,1,0,37.09698294533162
LA-BK,201012,2,0,21.60467106408547
LA-BL,201010,0,0,146.19656202958592
LA-BL,201011,1,0,94.7340923040796
LA-BL,201012,2,0,84.88091532304051
LA-CH,201010,0,0,305.99696784110694
LA-CH,201011,1,0,107.08479960063252
LA-CH,201012,2,0,85.90236492771707
LA-HO,201010,0,0,17.857314942834158
LA-HO,201011,1,0,17.198660980084245
LA-HO,201012,2,0,16.64846330513844
LA-KH,201010,0,0,105.36768939470115
LA-KH,201011,1,0,25.17308857537919
LA-KH,201012,2,0,7.798395056197009
LA-LM,201010,0,0,29.11530051958211
LA-LM,201011,1,0,21.503172203989866
LA-LM,201012,2,0,19.883776940043084
LA-LP,201010,0,0,81.76564598827227
LA-LP,201011,1,0,39.84909220171738
LA-LP,201012,2,0,34.39959163084863
LA-OU,201010,0,0,45.29573541926087
LA-OU,201011,1,0,23.819736493109783
LA-OU,201012,2,0,21.32497198481726
LA-PH,201010,0,0,16.42452455357325
LA-PH,201011,1,0,16.32598340343668
LA-PH,201012,2,0,16.29446412179609
LA-SL,201010,0,0,192.93586264090033
LA-SL,201011,1,0,78.95843086427116
LA-SL,201012,2,0,72.41755878421492
LA-SV,201010,0,0,192.4170504678774
LA-SV,201011,1,0,76.02251831249734
LA-SV,201012,2,0,66.73067618521976
LA-VI,201010,0,0,37.18969117168271
LA-VI,201011,1,0,25.00477540559962
LA-VI,201012,2,0,23.922112969199944
LA-VT,201010,0,0,529.7974293356763
LA-VT,201011,1,0,247.21566416337274
LA-VT,201012,2,0,202.70058412005844
LA-XA,201010,0,0,32.58761801210517
LA-XA,201011,1,0,20.303955268285712
LA-XA,201012,2,0,18.015533392573037
LA-XE,201010,0,0,37.600045582467686
LA-XE,201011,1,0,22.996824671485072
LA-XE,201012,2,0,22.18447186574941
LA-XI,201010,0,0,25.779717764060862
LA-XI,201011,1,0,18.530617196469755
LA-XI,201012,2,0,17.17335385998397
LA-XN,201010,0,0,19.271205028109833
LA-XN,201011,1,0,18.539211748160753
LA-XN,201012,2,0,18.00051026156286
