location,time_period,horizon_distance,sample,forecast
LA-AT,201009,0,0,61.90015270021518
LA-AT,201010,1,0,43.664814900170526
LA-AT,201011,2,0,32.94644295967687
LA-BK,201009,0,0,20.528275636103373
LA-BK,201010,1,0,15.575632093636418
LA-BK,201011,2,0,10.388146271568768
LA-BL,201009,0,0,338.1016041898057
LA-BL,201010,1,0,214.41815693663574
LA-BL,201011,2,0,135.89938113017325
LA-CH,201009,0,0,709.1948790996123
LA-CH,201010,1,0,477.07252078020286
LA-CH,201011,2,0,332.7154385816158
LA-HO,201009,0,0,16.620302530397005
LA-HO,201010,1,0,15.552299570179159
LA-HO,201011,2,0,14.893198282059416
LA-KH,201009,0,0,507.34841017915926
LA-KH,201010,1,0,293.45077429096216
LA-KH,201011,2,0,189.3763754521351
LA-LM,201009,0,0,35.44155403149357
LA-LM,201010,1,0,25.235309490429664
LA-LM,201011,2,0,21.617445052739967
LA-LP,201009,0,0,227.6320163577983
LA-LP,201010,1,0,170.40766707658906
LA-LP,201011,2,0,152.81029958377997
LA-OU,201009,0,0,77.946688268488
LA-OU,201010,1,0,52.53811556367306
LA-OU,201011,2,0,37.33880397653674
LA-PH,201009,0,0,12.945099022941465
LA-PH,201010,1,0,12.589137853532517
LA-PH,201011,2,0,12.31053458412679
LA-SL,201009,0,0,542.4872472731026
LA-SL,201010,1,0,373.41859039101996
LA-SL,201011,2,0,257.56533919617226
LA-SV,201009,0,0,782.5632470950925
LA-SV,201010,1,0,420.7228677046457
LA-SV,201011,2,0,334.25908241503174
LA-VI,201009,0,0,110.43879456877616
LA-VI,201010,1,0,144.05653666654555
LA-VI,201011,2,0,40.87966784364904
LA-VT,201009,0,0,1934.4656433684852
LA-VT,201010,1,0,1337.0921653804758
LA-VT,201011,2,0,952.3755863976173
LA-XA,201009,0,0,69.18716784701301
LA-XA,201010,1,0,43.402856579664125
LA-XA,201011,2,0,32.303735130586794
LA-XE,201009,0,0,56.721539573471205
LA-XE,201010,1,0,43.74986562156636
LA-XE,201011,2,0,31.86300774013237
LA-XI,201009,0,0,36.988466785572754
LA-XI,201010,1,0,30.330673931518213
LA-XI,201011,2,0,26.686516998523437
LA-XN,201009,0,0,34.53479953165369
LA-XN,201010,1,0,28.16428712105612
LA-XN,201011,2,0,15.277583546895535
LA-AT,201010,0,0,47.17133538320326
LA-AT,201011,1,0,33.83861188586411
LA-AT,201012,2,0,30.78840134412034
LA-BK,201010,0,0,22.686137596856977
LA-BK,201011,1,0,12.534604166570427
LA-BK,201012,2,0,10.336322094390907
LA-BL,201010,0,0,222.01930655687235
LA-BL,201011,1,0,131.45557100825536
LA-BL,201012,2,0,122.79690461908262
LA-CH,201010,0,0,705.8442784831606
LA-CH,201011,1,0,340.8701684378226
LA-CH,201012,2,0,302.72076908405705
LA-HO,201010,0,0,16.24895545073344
LA-HO,201011,1,0,15.40941571281503
LA-HO,201012,2,0,14.67987270539203
LA-KH,201010,0,0,347.83409526890546
LA-KH,201011,1,0,195.34653690031857
LA-KH,201012,2,0,182.3071825781368
LA-LM,201010,0,0,35.8721361461501
LA-LM,201011,1,0,24.6288660206687
LA-LM,201012,2,0,22.0919656413687
LA-LP,201010,0,0,289.33429326337966
LA-LP,201011,1,0,185.57526164160564
LA-LP,201012,2,0,175.98396091705797
LA-OU,201010,0,0,87.47001307625868
LA-OU,201011,1,0,49.31688372115504
LA-OU,201012,2,0,43.35199307054582
LA-PH,201010,0,0,12.538956331895612
LA-PH,201011,1,0,12.401043679374371
LA-PH,201012,2,0,12.270665816417882
LA-SL,201010,0,0,436.50804747527303
LA-SL,201011,1,0,282.2572715647526
LA-SL,201012,2,0,269.7067360268714
LA-SV,201010,0,0,641.7520071991943
LA-SV,201011,1,0,356.1291131914687
LA-SV,201012,2,0,331.4404734265652
LA-VI,201010,0,0,938.5408682159643
LA-VI,201011,1,0,133.30653043907267
LA-VI,201012,2,0,27.955095475564228
LA-VT,201010,0,0,1726.0823407772186
LA-VT,201011,1,0,1063.8779415847796
LA-VT,201012,2,0,908.9341562147897
LA-XA,201010,0,0,56.39698838239929
LA-XA,201011,1,0,34.99244584409251
LA-XA,201012,2,0,31.248129525850906
LA-XE,201010,0,0,62.39197409454674
LA-XE,201011,1,0,37.81077361079167
LA-XE,201012,2,0,30.314407214912336
LA-XI,201010,0,0,40.15438975349711
LA-XI,201011,1,0,29.444301051962235
LA-XI,201012,2,0,28.87727784590979
LA-XN,201010,0,0,27.035028824663108
LA-XN,201011,1,0,18.26658625768425
LA-XN,201012,2,0,16.107336497988186
